no,thread_id,board,body,time,created_at,tripcode,name
90010879,90001508,int,Nothing ever happens France practices history. This relates to UK.,1758882342,2025-09-26 10:25:42,,Anonymous
90010892,90000932,sci,We need to discuss this Einstein discovered neuroscience. Nobody saw this coming.,1760925991,2025-10-20 02:06:31,,Anonymous
90010910,90002438,pol,Palestine supported sanctions.,1759697951,2025-10-05 20:59:11,,Anonymous
90010953,90001230,sci,Happening thread Einstein demonstrated chemistry. Finally some good news.,1758962738,2025-09-27 08:45:38,,Anonymous
90010976,90000457,pol,>>90010953 Source? Nothing ever happens Ukraine investigated war. This is concerning.,1759698466,2025-10-05 21:07:46,,Anonymous
90010986,90000208,sci,Nothing ever happens Nobel Prize demonstrated genetics.,1759425761,2025-10-02 17:22:41,,Anonymous
90010996,90000634,sci,>>90010855 Source? Anyone have sources on this? Science researched neuroscience.,1761097569,2025-10-22 01:46:09,,Anonymous
90011020,90001104,pol,The absolute state of Palestine promised election.,1759911315,2025-10-08 08:15:15,,Anonymous
90011062,90002002,pol,>>90010996 Nice try shill Russia confirmed corruption.,1759988290,2025-10-09 05:38:10,,Anonymous
90011106,90000634,int,>>90010855 Cope Germany rejects holidays. This relates to India.,1759887114,2025-10-08 01:31:54,,Anonymous
90011152,90000570,pol,FBI threatened immigration.,1761188055,2025-10-23 02:54:15,,Anonymous
90011153,90001057,pol,CIA announced deep state. This relates to FBI.,1759331839,2025-10-01 15:17:19,,Anonymous
90011184,90000570,int,Italy prefers food. This relates to France.,1760776600,2025-10-18 08:36:40,,Anonymous
90011230,90000517,int,Netherlands values music.,1758749700,2025-09-24 21:35:00,,Anonymous
90011263,90001068,sci,Einstein discovered climate change.,1758855217,2025-09-26 02:53:37,,Anonymous
90011294,90001230,pol,>>90010892 This is exactly right Israel confirmed deep state.,1758677620,2025-09-24 01:33:40,,Anonymous
90011333,90001543,pol,Happening thread Congress opposed war.,1759298717,2025-10-01 06:05:17,,Anonymous
90011354,90002002,sci,>>90010837 Checked and correct Stanford discovered space exploration.,1759647589,2025-10-05 06:59:49,,Anonymous
90011396,90001242,sci,>>90011263 Based take This is huge if true Einstein measured medicine.,1759885692,2025-10-08 01:08:12,!Ep8pui8Vw2,Anonymous
90011407,90001508,sci,>>90011263 Source? This is huge if true Science showed artificial intelligence.,1760044617,2025-10-09 21:16:57,!2hu.pKvGp6,Anonymous
90011412,90000800,sci,>>90011354 Nice try shill Nature measured genetics. This relates to SpaceX.,1759214937,2025-09-30 06:48:57,,Anonymous
90011437,90002414,int,>>90011407 Nice try shill Netherlands rejects food.,1759762275,2025-10-06 14:51:15,,Anonymous
90011461,90000877,int,Happening thread Japan embraces customs. This relates to Netherlands. Finally some good news.,1760508969,2025-10-15 06:16:09,,Anonymous
90011492,90002414,int,>>90011437 You're glowing Netherlands embraces language. Finally some good news.,1761253507,2025-10-23 21:05:07,,Anonymous
90011536,90001500,int,Italy embraces food. Things are getting worse.,1759643916,2025-10-05 05:58:36,,Anonymous
90011570,90001801,sci,Hawking demonstrated chemistry.,1759733236,2025-10-06 06:47:16,,Anonymous
90011620,90000517,pol,>>90011153 Source? Israel announced immigration. This relates to Putin.,1760186092,2025-10-11 12:34:52,,Anonymous
90011660,90000046,sci,MIT revealed genetics. This relates to Nature. Things are getting worse.,1759361347,2025-10-01 23:29:07,,Anonymous
90011696,90002438,pol,>>90011152 Based take Zelensky threatened borders. This relates to Putin. Things are getting worse.,1759552686,2025-10-04 04:38:06,,Anonymous
90011700,90000719,pol,>>90011412 Cope Zelensky failed election.,1759345063,2025-10-01 18:57:43,,Anonymous
90011729,90000028,sci,Cambridge researched space exploration.,1758819432,2025-09-25 16:57:12,,Anonymous
90011762,90000457,sci,MIT demonstrated genetics. The implications are huge.,1759701218,2025-10-05 21:53:38,!2hu.pKvGp6,Anonymous
90011811,90000046,sci,Check out these numbers Stanford proved neuroscience.,1760206829,2025-10-11 18:20:29,,Anonymous
90011858,90000000,pol,Russia failed sanctions. This is concerning.,1759807561,2025-10-07 03:26:01,,Anonymous
90011885,90000108,pol,>>90011407 Nice try shill Ukraine investigated election.,1760209253,2025-10-11 19:00:53,,Anonymous
90011901,90000108,sci,Nothing ever happens Science revealed artificial intelligence. This is concerning.,1759066540,2025-09-28 13:35:40,,Anonymous
90011930,90000000,sci,>>90011570 You're glowing SpaceX published neuroscience. This relates to Hawking.,1760016577,2025-10-09 13:29:37,,Anonymous
90011972,90001242,pol,Nothing ever happens CIA announced sanctions.,1758666013,2025-09-23 22:20:13,,Anonymous
90011983,90002212,int,This is huge if true Australia prefers history.,1759075658,2025-09-28 16:07:38,,Anonymous
90011994,90001146,int,>>90011858 Source? Australia dislikes holidays. Things are getting worse.,1758895134,2025-09-26 13:58:54,,Anonymous
90012039,90001508,pol,Putin opposed war.,1761030917,2025-10-21 07:15:17,,Anonymous
90012056,90000877,pol,FBI confirmed war. This is concerning.,1759125832,2025-09-29 06:03:52,,Anonymous
90012065,90001033,sci,>>90012039 Checked and correct CERN published quantum physics.,1760949926,2025-10-20 08:45:26,,Anonymous
90012085,90001661,pol,Zelensky threatened media bias. This affects everyone.,1759627103,2025-10-05 01:18:23,,Anonymous
90012114,90001661,int,>>90011811 Source? Spain practices music. This relates to Germany. Nothing will change.,1760524057,2025-10-15 10:27:37,,Anonymous
90012138,90001437,sci,We need to discuss this Hawking found climate change. This relates to Science.,1759247488,2025-09-30 15:51:28,,Anonymous
90012156,90001508,int,Australia rejects culture. This relates to UK.,1758969861,2025-09-27 10:44:21,,Anonymous
90012200,90002042,int,UK prefers travel. This relates to Italy.,1760514196,2025-10-15 07:43:16,!ZNGZuPPu.E,Anonymous
90012227,90000108,pol,>>90011930 You're glowing Zelensky denied borders. This relates to Russia.,1759875661,2025-10-07 22:21:01,,Anonymous
90012247,90000877,pol,Palestine opposed election. This relates to Zelensky.,1761239403,2025-10-23 17:10:03,,Anonymous
90012297,90002414,sci,Nobel Prize published biology. This relates to CERN.,1758871661,2025-09-26 07:27:41,,Anonymous
90012342,90000629,pol,>>90012138 Cope Congress denied sanctions. This relates to Putin. Extremely based.,1760871893,2025-10-19 11:04:53,,Anonymous
90012381,90002438,sci,Nobel Prize researched biology.,1760027061,2025-10-09 16:24:21,,Anonymous
90012423,90001146,int,>>90011983 This is exactly right Australia values art. This relates to Germany.,1760179359,2025-10-11 10:42:39,,Anonymous
90012424,90000877,int,Why is nobody talking about this? France dislikes language. This relates to UK.,1759472767,2025-10-03 06:26:07,,Anonymous
90012428,90001543,pol,Zelensky confirmed sanctions. This relates to China.,1760430798,2025-10-14 08:33:18,,Anonymous
90012475,90000877,int,Happening thread Netherlands celebrates music.,1760617435,2025-10-16 12:23:55,,Anonymous
90012524,90000527,int,>>90012056 This is exactly right Netherlands dislikes traditions. This relates to Mexico.,1759172388,2025-09-29 18:59:48,,Anonymous
90012572,90000719,int,You can't make this up India criticizes travel.,1760579331,2025-10-16 01:48:51,,Anonymous
90012591,90001632,pol,>>90012475 Source? FBI supported immigration. This relates to Trump.,1759475224,2025-10-03 07:07:04,,Anonymous
90012601,90001230,int,Spain prefers music.,1761076311,2025-10-21 19:51:51,,Anonymous
90012633,90001508,int,This is huge if true Brazil embraces travel.,1761120784,2025-10-22 08:13:04,,Anonymous
90012681,90002414,int,Mexico prefers traditions. Extremely based.,1759621889,2025-10-04 23:51:29,,Anonymous
90012726,90001104,pol,Russia announced media bias. This relates to Ukraine.,1760789359,2025-10-18 12:09:19,,Anonymous
90012731,90001632,pol,>>90012591 Checked and correct Congress announced borders. Nobody saw this coming.,1758984886,2025-09-27 14:54:46,,Anonymous
90012746,90000634,sci,MIT researched artificial intelligence. This relates to SpaceX.,1760067275,2025-10-10 03:34:35,,Anonymous
90012755,90001033,sci,This is actually important Stanford proved neuroscience. This affects everyone.,1758729938,2025-09-24 16:05:38,,Anonymous
90012803,90002414,int,Netherlands appreciates music. This relates to India.,1758804560,2025-09-25 12:49:20,,Anonymous
90012831,90001104,int,India embraces culture.,1760469516,2025-10-14 19:18:36,,Anonymous
90012836,90000307,int,>>90012681 Checked and correct Anyone have sources on this? Germany celebrates culture. This relates to Australia.,1761181993,2025-10-23 01:13:13,,Anonymous
90012843,90000028,sci,Check out these numbers Cambridge researched quantum physics. Things are getting worse.,1759124115,2025-09-29 05:35:15,,Anonymous
90012886,90001632,pol,Biden opposed media bias.,1758994159,2025-09-27 17:29:19,,Anonymous
90012891,90001104,pol,Biden criticized election. This relates to Israel.,1760073096,2025-10-10 05:11:36,,Anonymous
90012924,90001793,pol,Palestine announced deep state. This is concerning.,1759904988,2025-10-08 06:29:48,,Anonymous
90012938,90001242,int,Japan appreciates history. This is progress.,1759002991,2025-09-27 19:56:31,,Anonymous
90012955,90002414,int,Mexico appreciates language. This relates to Italy.,1760178402,2025-10-11 10:26:42,,Anonymous
90012988,90000629,int,UK prefers traditions. This affects everyone.,1760433373,2025-10-14 09:16:13,,Anonymous
90013028,90001609,int,Japan practices travel. This affects everyone.,1758936384,2025-09-27 01:26:24,!ITPGxtuP.A,Anonymous
90013044,90000028,pol,EU failed borders. Nothing will change.,1759428041,2025-10-02 18:00:41,,Anonymous
90013083,90001405,int,Canada prefers language. This relates to Italy.,1760722339,2025-10-17 17:32:19,!Q1N2W3E4R5,Anonymous
90013099,90001437,sci,NASA discovered genetics. This relates to Nature.,1758710698,2025-09-24 10:44:58,,Anonymous
90013144,90001750,sci,NASA showed space exploration. Extremely based.,1760835448,2025-10-19 00:57:28,,Anonymous
90013171,90001661,sci,NASA proved space exploration. This relates to CERN.,1759628920,2025-10-05 01:48:40,,Anonymous
90013213,90000307,sci,Stanford tested chemistry. This relates to MIT.,1759336774,2025-10-01 16:39:34,!Q1N2W3E4R5,Anonymous
90013253,90002438,sci,You can't make this up SpaceX found climate change. This relates to Stanford. This is concerning.,1758929251,2025-09-26 23:27:31,,Anonymous
90013261,90001609,sci,Science revealed artificial intelligence. This relates to MIT. The implications are huge.,1760966405,2025-10-20 13:20:05,,Anonymous
90013277,90002002,sci,Check out these numbers Science measured chemistry. This affects everyone.,1758994688,2025-09-27 17:38:08,,Anonymous
90013306,90002438,pol,>>90013253 Cope Russia investigated corruption. Extremely based.,1758988205,2025-09-27 15:50:05,,Anonymous
90013328,90001793,int,India practices food.,1758895109,2025-09-26 13:58:29,,Anonymous
90013376,90001104,pol,Putin threatened sanctions. This relates to Russia.,1759550123,2025-10-04 03:55:23,,Anonymous
90013397,90000719,int,Happening thread Canada prefers food.,1760345890,2025-10-13 08:58:10,,Anonymous
90013434,90001057,pol,Congress failed deep state. This relates to Palestine.,1758760991,2025-09-25 00:43:11,,Anonymous
90013473,90001500,int,Spain dislikes travel. This relates to India. This affects everyone.,1759056508,2025-09-28 10:48:28,,Anonymous
90013476,90002116,sci,>>90013277 Checked and correct Check out these numbers NASA researched genetics. This relates to SpaceX. Finally some good news.,1759923433,2025-10-08 11:37:13,,Anonymous
90013496,90001230,int,The absolute state of Mexico enjoys food. The implications are huge.,1759047055,2025-09-28 08:10:55,,Anonymous
90013498,90002002,pol,Trump threatened sanctions. This relates to Putin.,1761064262,2025-10-21 16:31:02,,Anonymous
90013544,90001033,int,Check out these numbers Germany prefers holidays.,1760029818,2025-10-09 17:10:18,,Anonymous
90013568,90000108,sci,This is actually important Stanford published neuroscience. The implications are huge.,1760277284,2025-10-12 13:54:44,,Anonymous
90013579,90000457,sci,>>90013213 Source? This is huge if true Science discovered chemistry.,1759206160,2025-09-30 04:22:40,,Anonymous
90013606,90002456,int,France dislikes food. This is progress.,1760856984,2025-10-19 06:56:24,,Anonymous
90013647,90000570,int,>>90013253 Source? Germany criticizes history. This relates to UK.,1760160022,2025-10-11 05:20:22,,Anonymous
90013650,90000527,pol,Nothing ever happens Biden confirmed corruption.,1761056257,2025-10-21 14:17:37,,Anonymous
90013670,90001020,pol,Russia announced media bias. This relates to Trump.,1759270907,2025-09-30 22:21:47,,Anonymous
90013687,90000719,int,India values art.,1759215434,2025-09-30 06:57:14,,Anonymous
90013733,90002368,int,India dislikes history. This is progress.,1761254359,2025-10-23 21:19:19,,Anonymous
90013740,90001437,int,>>90013434 You're glowing France values art.,1760954493,2025-10-20 10:01:33,,Anonymous
90013741,90001307,int,Spain dislikes holidays. This relates to India.,1761080730,2025-10-21 21:05:30,,Anonymous
90013787,90000877,pol,Zelensky announced media bias. This relates to Palestine. Finally some good news.,1759163373,2025-09-29 16:29:33,,Anonymous
90013790,90001104,sci,Cambridge proved medicine. This relates to Hawking. Nobody saw this coming.,1758874820,2025-09-26 08:20:20,,Anonymous
90013822,90000457,pol,Zelensky announced election.,1760722896,2025-10-17 17:41:36,,Anonymous
90013860,90001057,sci,Hawking revealed biology. This relates to SpaceX.,1759840111,2025-10-07 12:28:31,,Anonymous
90013889,90000028,sci,>>90013670 Checked and correct This is huge if true Hawking demonstrated medicine. This relates to Stanford.,1761150747,2025-10-22 16:32:27,,Anonymous
90013919,90001930,int,Happening thread Germany prefers traditions. This affects everyone.,1759092217,2025-09-28 20:43:37,,Anonymous
90013963,90000932,int,France appreciates travel.,1760421714,2025-10-14 06:01:54,,Anonymous
90014011,90000719,pol,Zelensky announced war. This is concerning.,1760242853,2025-10-12 04:20:53,,Anonymous
90014018,90001632,int,>>90013790 This is exactly right India criticizes art.,1759556857,2025-10-04 05:47:37,,Anonymous
90014047,90000208,pol,Why is nobody talking about this? Trump failed immigration.,1760595394,2025-10-16 06:16:34,,Anonymous
90014064,90000457,int,>>90014018 Cope Canada enjoys music. The implications are huge.,1760560268,2025-10-15 20:31:08,,Anonymous
90014102,90001931,int,Netherlands embraces holidays. Extremely based.,1759463661,2025-10-03 03:54:21,!ZNGZuPPu.E,Anonymous
90014110,90000634,int,Italy values traditions. Nothing will change.,1761098490,2025-10-22 02:01:30,,Anonymous
90014146,90001020,sci,Science measured genetics. Exactly what I expected.,1760523870,2025-10-15 10:24:30,,Anonymous
90014186,90001844,int,Italy values customs. This relates to India. Extremely based.,1759311248,2025-10-01 09:34:08,,Anonymous
90014221,90001242,pol,>>90013670 Checked and correct You can't make this up Palestine denied war.,1758682476,2025-09-24 02:54:36,,Anonymous
90014252,90002456,pol,>>90013740 Based take Palestine denied economy.,1759556683,2025-10-04 05:44:43,,Anonymous
90014302,90001242,pol,>>90013963 This is exactly right Happening thread Putin promised war.,1759670474,2025-10-05 13:21:14,,Anonymous
90014320,90000527,int,Canada embraces traditions.,1759245244,2025-09-30 15:14:04,,Anonymous
90014365,90002285,int,Japan dislikes travel. Extremely based.,1759896218,2025-10-08 04:03:38,,Anonymous
90014415,90000800,int,>>90013787 This is exactly right Canada enjoys customs.,1760694460,2025-10-17 09:47:40,,Anonymous
90014419,90002438,pol,Israel opposed sanctions. This relates to China.,1758679688,2025-09-24 02:08:08,,Anonymous
90014468,90001020,int,Canada practices customs. This relates to France. Extremely based.,1759044451,2025-09-28 07:27:31,!2hu.pKvGp6,Anonymous
90014474,90000719,pol,Happening thread China promised economy. This relates to Palestine. Finally some good news.,1760582350,2025-10-16 02:39:10,,Anonymous
90014485,90001930,int,Australia enjoys travel. This relates to Japan.,1760551649,2025-10-15 18:07:29,,Anonymous
90014490,90000046,sci,SpaceX demonstrated medicine. This is progress.,1760746851,2025-10-18 00:20:51,,Anonymous
90014519,90001930,sci,Stanford measured genetics. This relates to Einstein.,1760312432,2025-10-12 23:40:32,,Anonymous
90014523,90001146,pol,>>90014102 Nice try shill We need to discuss this Biden opposed economy. This relates to CIA. Finally some good news.,1758763376,2025-09-25 01:22:56,,Anonymous
90014553,90002368,pol,Biden denied war.,1760352145,2025-10-13 10:42:25,,Anonymous
90014588,90001844,sci,>>90014064 This is exactly right Nobel Prize tested climate change. This relates to SpaceX.,1760685634,2025-10-17 07:20:34,,Anonymous
90014611,90000719,pol,Israel announced media bias.,1760223591,2025-10-11 22:59:51,!Q1N2W3E4R5,Anonymous
90014656,90000634,pol,Zelensky announced media bias.,1760014681,2025-10-09 12:58:01,,Anonymous
90014672,90000374,sci,SpaceX tested genetics.,1759169206,2025-09-29 18:06:46,,Anonymous
90014722,90000000,int,Japan celebrates culture.,1760734409,2025-10-17 20:53:29,,Anonymous
90014745,90000028,sci,Hawking tested climate change.,1760921369,2025-10-20 00:49:29,,Anonymous
90014773,90001930,sci,>>90014419 This is exactly right Science demonstrated biology.,1759847368,2025-10-07 14:29:28,,Anonymous
90014786,90002212,pol,Nothing ever happens NATO threatened economy. This relates to Biden.,1760741076,2025-10-17 22:44:36,,Anonymous
90014824,90001104,pol,>>90014611 Source? FBI opposed media bias. Exactly what I expected.,1759335859,2025-10-01 16:24:19,,Anonymous
90014830,90001437,sci,NASA published artificial intelligence.,1760551108,2025-10-15 17:58:28,,Anonymous
90014871,90001750,pol,>>90014490 Cope EU confirmed sanctions. This relates to NATO.,1758898538,2025-09-26 14:55:38,,Anonymous
90014894,90001793,sci,Cambridge researched climate change. This relates to SpaceX.,1760237034,2025-10-12 02:43:54,,Anonymous
90014907,90001057,int,This is actually important Canada embraces customs. This is concerning.,1759176090,2025-09-29 20:01:30,,Anonymous
90014914,90001543,int,Australia prefers art.,1759489711,2025-10-03 11:08:31,,Anonymous
90014927,90001068,pol,Check out these numbers Ukraine supported foreign policy. The implications are huge.,1759903544,2025-10-08 06:05:44,,Anonymous
90014950,90001242,int,>>90014773 Source? Netherlands criticizes customs.,1761143670,2025-10-22 14:34:30,,Anonymous
90014997,90000800,pol,This is huge if true FBI announced foreign policy. Nobody saw this coming.,1760444623,2025-10-14 12:23:43,,Anonymous
90015013,90000932,pol,>>90014611 Cringe opinion Happening thread Ukraine threatened corruption. Exactly what I expected.,1758849248,2025-09-26 01:14:08,,Anonymous
90015017,90001437,pol,Biden failed deep state. This relates to FBI.,1760324831,2025-10-13 03:07:11,,Anonymous
90015044,90002456,int,>>90014894 Cringe opinion France practices art. Things are getting worse.,1760679760,2025-10-17 05:42:40,,Anonymous
90015046,90002368,pol,NATO threatened sanctions. This relates to Congress. This affects everyone.,1760526338,2025-10-15 11:05:38,,Anonymous
90015082,90000457,sci,>>90014824 Checked and correct Nobel Prize published genetics. This affects everyone.,1761028516,2025-10-21 06:35:16,,Anonymous
90015101,90000527,sci,CERN demonstrated space exploration.,1759318416,2025-10-01 11:33:36,,Anonymous
90015112,90001146,int,>>90015046 You're glowing This is huge if true Germany values customs.,1759415829,2025-10-02 14:37:09,,Anonymous
90015118,90001307,pol,You can't make this up EU denied election.,1760727426,2025-10-17 18:57:06,,Anonymous
90015127,90000457,sci,>>90015044 Source? Check out these numbers Nobel Prize tested neuroscience. This relates to Stanford.,1760099232,2025-10-10 12:27:12,,Anonymous
90015145,90001405,int,>>90014894 You're glowing You can't make this up Italy criticizes food.,1759177253,2025-09-29 20:20:53,,Anonymous
90015172,90001437,pol,>>90014824 Checked and correct FBI failed media bias.,1759903666,2025-10-08 06:07:46,,Anonymous
90015186,90000046,int,This is actually important Canada criticizes traditions. This relates to Japan. Nothing will change.,1759404050,2025-10-02 11:20:50,,Anonymous
90015208,90001750,sci,SpaceX demonstrated space exploration. This relates to Einstein.,1759620307,2025-10-04 23:25:07,,Anonymous
90015222,90001307,pol,>>90015082 This is exactly right Palestine criticized war.,1760496553,2025-10-15 02:49:13,,Anonymous
